model,hit@1,hits@3,hits@5,hits@10,hits@20,mr,mrr
MIMIC (no images),0.3534883721,0.5286821705,0.615503876,0.7333333333,0.8589147287,53.71472868,0.4768659713
MIMIC (no images),0.3612403101,0.5457364341,0.6201550388,0.7178294574,0.8279069767,85.33953488,0.4843528395
MIMIC (no images),0.3472868217,0.5240310078,0.6046511628,0.711627907,0.8434108527,109.0945736,0.4693689758
MIMIC (no images),0.3782945736,0.5317829457,0.6356589147,0.7627906977,0.8821705426,54.56589147,0.4998261163
MIMIC (no images),0.3813953488,0.5286821705,0.6031007752,0.7131782946,0.8015503876,56.34728682,0.489982478
MIMIC (no candidate image),0.3426356589,0.5317829457,0.6279069767,0.7286821705,0.8496124031,35.11937984,0.4716408585
MIMIC (no candidate image),0.3689922481,0.5395348837,0.615503876,0.7317829457,0.8930232558,45.13178295,0.4887919028
MIMIC (no candidate image),0.3674418605,0.5581395349,0.6527131783,0.7395348837,0.880620155,65.94108527,0.4972408542
MIMIC (no candidate image),0.3968992248,0.5519379845,0.6418604651,0.7317829457,0.8759689922,80.46976744,0.506911656
MIMIC (no candidate image),0.3550387597,0.5395348837,0.6031007752,0.7023255814,0.8108527132,54.01395349,0.475342653
MIMIC,0.3472868217,0.5271317829,0.6170542636,0.7302325581,0.8759689922,36.45891473,0.4771987509
MIMIC,0.376744186,0.5286821705,0.615503876,0.7395348837,0.8837209302,46.40310078,0.4895437729
MIMIC,0.3565891473,0.5007751938,0.6124031008,0.6914728682,0.8325581395,48.32093023,0.4686192303
MIMIC,0.3720930233,0.5364341085,0.6186046512,0.7224806202,0.8930232558,76.52093023,0.4854868409
MIMIC,0.3798449612,0.5379844961,0.6,0.6821705426,0.8031007752,42.44031008,0.4888751245
BLINK (Biencoder),0.2496,0.4512,0.5271,0.6496,0.755,111.0898,0.3812
BLINK (Biencoder),0.1783,0.4217,0.4729,0.5426,0.6496,153.0248,0.3185
BLINK (Biencoder),0.2496,0.4512,0.5271,0.6496,0.755,111.0898,0.3812
BLINK (Biencoder),0.1163,0.3085,0.4605,0.5767,0.8062,81.387,0.2659
BLINK (Biencoder),0.1535,0.2264,0.2977,0.4651,0.5907,185.9799,0.2337
BLINK (Crossencoder),0.769,0.8233,0.8341,0.8434,0.8496,76.1687,0.7976
BLINK (Crossencoder),0.7457,0.7953,0.8124,0.8326,0.8465,76.4164,0.7763
BLINK (Crossencoder),0.7643,0.8202,0.8248,0.8357,0.8496,76.2771,0.7921
BLINK (Crossencoder),0.7581,0.8248,0.8326,0.8434,0.8496,76.2198,0.7899
BLINK (Crossencoder),0.7643,0.8155,0.8295,0.8434,0.8496,76.1858,0.7944
